,,,,,,,,,,,,,,,,,,,,,,,
コード内容別医療機関一覧表,[広島県],,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[令和 8年 2月 1日現在　医科　現存/休止],令和 8年 2月 2日作成　　1頁,,,,,,,,,,,,,,,,,,,,,,
 　 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,"01,1001,3",中国電力株式会社　中電病院,〒730－8652広島市中区大手町３丁目４－２７,082-241-8221,中国電力　株式会社　代表取締役社長執行役員　中川　賢剛,石橋　克彦,昭32. 7. 1,一般　　,病院,,,,,,,,,,,,,,
,"(01,3001,7)",,,常　勤:　　　31,,,新規,　　一般    131,現存,,,,,,,,,,,,,,
,,,,(医　　　　30),,,令5. 7. 1,一般　　,,,,,,,,,,,,,,,
,,,,(歯　　　　 1),,,,　　一般     45,,,,,,,,,,,,,,,
,,,,非常勤:　　　30,,,,一般　　,,,,,,,,,,,,,,,
,,,,(医　　　　24),,,,　　一般     40,,,,,,,,,,,,,,,
,,,,(歯　　　　 6),,,,一般　　,,,,,,,,,,,,,,,
,,,,,,,,　　一般     32,,,,,,,,,,,,,,,
,,,,,,,,内　外　整外　産婦　皮　ひ　耳い　麻　歯　放　リハ,,,,,,,,,,,,,,,
2,"01,1003,9",瀬戸産婦人科医院,〒734－0025広島市南区東本浦町２２－５,082-281-1359,瀨戸　真理子,瀨戸　真理子,平15. 3. 23,産婦,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令3. 3. 23,,,,,,,,,,,,,,,,
3,"01,1009,6",医療法人　灰塚医院,〒730－0011広島市中区基町１８－４－４,082-221-6909,医療法人　灰塚医院　理事長　灰塚　隆敏,灰塚　隆敏,平元. 4. 1,内　呼　胃　小,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,新規,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 4. 1,,,,,,,,,,,,,,,,
4,"01,1013,8",国家公務員共済組合連合会　吉島病院,〒730－0822広島市中区吉島東三丁目２－３３,082-241-2167,国家公務員共済組合連合会　理事長　松元　崇,山岡　直樹,昭32. 9. 1,一般　　    111,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　17,,,新規,結核　　     41,現存,,,,,,,,,,,,,,
,,,,(医　　　　17),,,令4. 8. 31,療養　　     47,,,,,,,,,,,,,,,
,,,,非常勤:　　　30,,,,内　呼内　消化器内科　糖尿病・内分泌内科　循環器内科　外　呼外　消化器外科　内視鏡内科　内視鏡外科　眼　耳い　麻　放　整外　リハ　緩和ケア内科　呼吸器リハビリテーション科,,,,,,,,,,,,,,,
,,,,(医　　　　30),,,,,,,,,,,,,,,,,,,
