"名称","名称かな","所在地","TEL","FAX","備考","URL","利用可能時間","休館日_1","写真","参考URL2","爆心地からの距離","所有者等","構造","郵便番号","TEL(夜間・休日）","私立等・公立の別","開設者種別","科目","対応可能言語","登録区分","開館時間","休館日_2","設置学部","障害種別","類型","設置者","文化財分類","種類","文化財指定日","区名","介護保険事業所番号","申請者-法人名","状態区分","NO","行政区","水利種別","公私区分","施設ID","登録番号","担当区内通番号","経度","緯度","分類"
"広島第一病院","","広島市東区戸坂南２－９－１５","082-229-0211","","","","","","","","","","","732-0013","","","","","","","","","","","","","","","","","","","","","","","","A047000001","","","132.49328300011","34.4230219997532","病院"
"医療法人翠星会　松田病院","","広島市南区翠４－１３－７","082-253-1245","","","","","","","","","","","734-0005","","","","","","","","","","","","","","","","","","","","","","","","A047000002","","","132.473317999813","34.3682909999356","病院"
"医療法人せのがわ　瀬野川病院","","広島市安芸区中野東４－１１－１３","082-892-1055","","","","","","","","","","","739-0323","","","","","","","","","","","","","","","","","","","","","","","","A047000003","","","132.578226000113","34.3969569998328","病院"
"養神館病院","","広島市佐伯区五日市１－１２－６","082-922-3153","","","","","","","","","","","731-5127","","","","","","","","","","","","","","","","","","","","","","","","A047000004","","","132.357633000278","34.3660109997351","病院"
"医療法人社団恵愛会　安佐病院","","広島市安佐南区八木５－１５－１","082-873-2022","","","","","","","","","","","731-0101","","","","","","","","","","","","","","","","","","","","","","","","A047000005","","","132.502284999988","34.4838139998911","病院"
"医療法人社団仁和会　児玉病院","","広島市安佐北区可部７－１４－３９","082-814-3151","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A047000006","","","132.509890999762","34.5239139997345","病院"
"医療法人社団共愛会　己斐ケ丘病院","","広島市西区己斐上６－５５４－１","082-272-2126","","","","","","","","","","","733-0815","","","","","","","","","","","","","","","","","","","","","","","","A047000007","","","132.42615200006","34.42725599975","病院"
"広島シーサイド病院","","広島市南区元宇品町２６－２０","082-255-1010","","","","","","","","","","","734-0012","","","","","","","","","","","","","","","","","","","","","","","","A047000008","","","132.459042000048","34.3485709997791","病院"
"ＪＲ広島病院","","広島市東区二葉の里３－１－３６","082-262-1171","","","","","","","","","","","732-0057","","","","","","","","","","","","","","","","","","","","","","","","A047000009","","","132.477048999857","34.4012069997379","病院"
"医療法人社団　生和会　広島はくしま病院","","広島市中区東白島町１９－１６","082-224-5355","","","","","","","","","","","730-8798","","","","","","","","","","","","","","","","","","","","","","","","A047000010","","","132.464566999918","34.4030369998717","病院"
"地方独立行政法人広島市立病院機構　広島市立広島市民病院","","広島市中区基町７－３３","082-221-2291","","","","","","","","","","","730-8518","","","","","","","","","","","","","","","","","","","","","","","","A047000011","","","132.459095000113","34.397925999867","病院"
"広島赤十字・原爆病院","","広島市中区千田町一丁目９－６","082-241-3111","","","","","","","","","","","730-8619","","","","","","","","","","","","","","","","","","","","","","","","A047000012","","","132.454152000046","34.3809280000017","病院"
"中国電力株式会社　中電病院","","広島市中区大手町３丁目４番２７号","082-241-8221","","","","","","","","","","","730-8562","","","","","","","","","","","","","","","","","","","","","","","","A047000013","","","132.452865000016","34.3886030000078","病院"
"医療法人清泉会　一ノ瀬病院","","広島市中区国泰寺町１丁目５－１１","082-243-6223","","","","","","","","","","","730-0042","","","","","","","","","","","","","","","","","","","","","","","","A047000014","","","132.456012999892","34.386122000047","病院"
"医療法人三和会　おおうち病院","","広島市中区大手町３－７－１１","082-243-0001","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A047000015","","","132.454429999952","34.3876220000242","病院"
"槙坪病院","","広島市東区光町１－１４－２","082-263-5788","","","","","","","","","","","732-0052","","","","","","","","","","","","","","","","","","","","","","","","A047000016","","","132.480120999908","34.3988709997297","病院"
"地方独立行政法人広島市立病院機構　広島市立舟入市民病院","","広島市中区舟入幸町１４番１１号","082-232-6195","","","","","","","","","","","730-0844","","","","","","","","","","","","","","","","","","","","","","","","A047000017","","","132.439788000068","34.3860449999691","病院"
"国家公務員共済組合連合会　広島記念病院","","広島市中区本川町１－４－３","082-292-1271","","","","","","","","","","","730-0802","","","","","","","","","","","","","","","","","","","","","","","","A047000018","","","132.449541000246","34.3957039999302","病院"
"医療法人社団更生会　草津病院","","広島市西区草津梅が台１０ー１","082-277-1001","","","","","","","","","","","733-0864","","","","","","","","","","","","","","","","","","","","","","","","A047000019","","","132.393988999982","34.3778739998401","病院"
"炭田内科胃腸科病院","","広島市西区三篠町３－５－２０","082-237-0532","","","","","","","","","","","733-0003","","","","","","","","","","","","","","","","","","","","","","","","A047000020","","","132.455318000048","34.4162199999589","病院"
"医療法人社団　正岡病院","","広島市中区猫屋町４番６号","082-291-3366","","","","","","","","","","","730-0852","","","","","","","","","","","","","","","","","","","","","","","","A047000021","","","132.44820800027","34.3952039999612","病院"
"広島大学病院","","広島市南区霞１－２－３","082-257-5555","","","","","","","","","","","734-8551","","","","","","","","","","","","","","","","","","","","","","","","A047000022","","","132.479067000185","34.3798449997946","病院"
"県立広島病院","","広島市南区宇品神田１－５－５４","082-254-1818","","","","","","","","","","","734-8530","","","","","","","","","","","","","","","","","","","","","","","","A047000023","","","132.466706999892","34.3668739998801","病院"
"医療法人三渓会　川堀病院","","広島市南区松川町３番８号","082-263-0303","","","","","","","","","","","732-0826","","","","","","","","","","","","","","","","","","","","","","","","A047000024","","","132.471845000012","34.3902329997354","病院"
"医療法人慈徳会　真田病院","","広島市南区皆実町３－１３－２１","082-253-1291","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A047000025","","","132.465318000126","34.3748459998593","病院"
"塩田病院","","広島市南区堀越１－７－３６","082-281-5515","","","","","","","","","","","734-0052","","","","","","","","","","","","","","","","","","","","","","","","A047000026","","","132.51273100012","34.3744849999361","病院"
"比治山病院","","広島市南区上東雲町３－１","082-281-0608","","","","","","","","","","","734-0021","","","","","","","","","","","","","","","","","","","","","","","","A047000027","","","132.485148999978","34.3864559999021","病院"
"医療法人健真会　山本整形外科病院","","広島市南区青崎２丁目４番２０号","082-282-6162","","","","","","","","","","","734-0053","","","","","","","","","","","","","","","","","","","","","","","","A047000028","","","132.507509000108","34.3744579999485","病院"
"妹尾病院","","広島市安佐南区相田１－１０－２１","082-878-5111","","","","","","","","","","","731-0141","","","","","","","","","","","","","","","","","","","","","","","","A047000029","","","132.455453000052","34.4715569996793","病院"
"医療法人社団　加川整形外科病院","","広島市西区古江西町２２番１０号","082-271-5127","","","","","","","","","","","733-0874","","","","","","","","","","","","","","","","","","","","","","","","A047000030","","","132.406336000038","34.3843499998537","病院"
"医療法人　新でしお病院","","広島市南区出汐１－３－９","082-251-7286","","","","","","","","","","","734-0001","","","","","","","","","","","","","","","","","","","","","","","","A047000031","","","132.476039000168","34.3801229997358","病院"
"医療法人社団昭信会　頼島産婦人科病院","","広島市安佐南区西原５丁目１１－１８","082-874-0523","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A047000032","","","132.468147999946","34.4420329999068","病院"
"国家公務員共済組合連合会　吉島病院","","広島市中区吉島東３丁目　２の３３","082-241-2167","","","","","","","","","","","730-0822","","","","","","","","","","","","","","","","","","","","","","","","A047000033","","","132.451097000118","34.3693459999678","病院"
"医療法人社団加藤会　高陽中央病院","","広島市安佐北区落合５－１－１０","082-842-0002","","","","","","","","","","","739-1731","","","","","","","","","","","","","","","","","","","","","","","","A047000034","","","132.512587000074","34.4803349999144","病院"
"ナカムラ病院","","広島市佐伯区坪井３－８１８ー１","082-923-8333","","","","","","","","","","","731-5142","","","","","","","","","","","","","","","","","","","","","","","","A047000035","","","132.334884000174","34.3822040000049","病院"
"日比野病院","","広島市安佐南区伴東七丁目９番２号","082-848-2357","","","","","","","","","","","731-3164","","","","","","","","","","","","","","","","","","","","","","","","A047000036","","","132.421105999993","34.4643609997333","病院"
"医療法人社団初仁会　桧田病院","","広島市佐伯区五日市中央１－１－３２","082-923-1116","","","","","","","","","","","731-5128","","","","","","","","","","","","","","","","","","","","","","","","A047000038","","","132.354550000252","34.3673169997392","病院"
"医療法人社団光仁会梶川病院","","広島市西区天満町８―７","082-231-1131","","","","","","","","","","","733-0022","","","","","","","","","","","","","","","","","","","","","","","","A047000039","","","132.440485999974","34.3964259997825","病院"
"医療法人社団曙会　シムラ病院","","広島市中区舟入町３―１３","082-294-5151","","","","","","","","","","","730-0841","","","","","","","","","","","","","","","","","","","","","","","","A047000041","","","132.444035000092","34.3918249999486","病院"
"医療法人たかまさ会　山崎病院","","広島市東区上温品１－２４－９","082-280-1234","","","","","","","","","","","732-0032","","","","","","","","","","","","","","","","","","","","","","","","A047000042","","","132.512423000217","34.4217030000153","病院"
"太田川病院","","広島市東区戸坂千足１―２１―２５","082-220-0221","","","","","","","","","","","732-0009","","","","","","","","","","","","","","","","","","","","","","","","A047000043","","","132.483977000063","34.436836999918","病院"
"野村病院","","広島市安佐南区祇園２－４２－１４","082-875-1111","","","","","","","","","","","731-0138","","","","","","","","","","","","","","","","","","","","","","","","A047000044","","","132.465203999972","34.4389779998988","病院"
"医療法人　長久堂野村病院","","広島市安佐北区可部南４丁目１７番３０号","082-815-2882","","","","","","","","","","","731-0223","","","","","","","","","","","","","","","","","","","","","","","","A047000045","","","132.51328800017","34.5054919999733","病院"
"医療法人　土本病院","","広島市中区橋本町４－７","082-228-3390","","","","","","","","","","","730-0015","","","","","","","","","","","","","","","","","","","","","","","","A047000046","","","132.469039000176","34.3951769996589","病院"
"医療法人あかね会　土谷総合病院","","広島市中区中島町３－３０","082-243-9191","","","","","","","","","","","730-8655","","","","","","","","","","","","","","","","","","","","","","","","A047000047","","","132.451593000092","34.3902219999905","病院"
"高陽ニュータウン病院","","広島市安佐北区亀崎４－７－１","082-843-1211","","","","","","","","","","","739-1742","","","","","","","","","","","","","","","","","","","","","","","","A047000049","","","132.525858000089","34.4821809997496","病院"
"医療法人社団玉章会　力田病院","","広島市西区鈴が峰町１４－２０","082-277-2101","","","","","","","","","","","733-0852","","","","","","","","","","","","","","","","","","","","","","","","A047000050","","","132.397129000054","34.3821219999293","病院"
"荒木脳神経外科病院","","広島市西区庚午北二丁目８－７","082-272-1114","","","","","","","","","","","733-0821","","","","","","","","","","","","","","","","","","","","","","","","A047000051","","","132.421877000023","34.3906489997899","病院"
"医療法人恒和会　松石病院","","広島市安芸区船越南三丁目２３－３","082-823-0003","","","","","","","","","","","736-0082","","","","","","","","","","","","","","","","","","","","","","","","A047000052","","","132.524591000184","34.370292","病院"
"医療法人社団朋和会　西広島リハビリテーション病院","","広島市佐伯区三宅６－２６５","082-921-3230","","","","","","","","","","","731-5143","","","","","","","","","","","","","","","","","","","","","","","","A047000053","","","132.339245000051","34.3783149998787","病院"
"医療法人社団仁鷹会　たかの橋中央病院","","広島市中区国泰寺町二丁目４－１６","082-242-1515","","","","","","","","","","","730-0042","","","","","","","","","","","","","","","","","","","","","","","","A047000054","","","132.454429999986","34.3835110000227","病院"
"医療法人　コムラ病院","","広島市安佐南区相田一丁目１６番２９号","082-872-2151","","","","","","","","","","","731-0141","","","","","","","","","","","","","","","","","","","","","","","","A047000055","","","132.456842000042","34.469834999723","病院"
"五日市記念病院","","広島市佐伯区倉重一丁目９５番地","082-924-2211","","","","","","","","","","","731-5156","","","","","","","","","","","","","","","","","","","","","","","","A047000056","","","132.351744000044","34.3832869998968","病院"
"瀬野白川病院","","広島市安芸区瀬野一丁目２８番３号","082-894-1117","","","","","","","","","","","739-0311","","","","","","","","","","","","","","","","","","","","","","","","A047000057","","","132.605027000098","34.4212599998585","病院"
"医療法人和同会　広島グリーンヒル病院","","広島市佐伯区五日市町下河内１８８－６","082-929-1110","","","","","","","","","","","731-5152","","","","","","","","","","","","","","","","","","","","","","","","A047000058","","","132.353354000013","34.4078119996825","病院"
"医療法人和同会　広島パークヒル病院","","広島市西区田方２丁目１６番４５号","082-274-1600","","","","","","","","","","","733-0851","","","","","","","","","","","","","","","","","","","","","","","","A047000059","","","132.396156000224","34.3918150000036","病院"
"原田整形外科病院","","広島市安佐南区上安二丁目１５番２７号","082-878-1125","","","","","","","","","","","731-0154","","","","","","","","","","","","","","","","","","","","","","","","A047000060","","","132.444954000113","34.4732519996469","病院"
"広島厚生病院","","広島市南区仁保新町一丁目５－１３","082-286-6111","","","","","","","","","","","734-0024","","","","","","","","","","","","","","","","","","","","","","","","A047000061","","","132.49053800017","34.3776789998169","病院"
"重症児・者福祉医療施設　鈴が峰","","広島市佐伯区五日市町皆賀１０４番２７","082-943-8888","","","","","","","","","","","731-5122","","","","","","","","","","","","","","","","","","","","","","","","A047000062","","","132.372520000098","34.3814269996843","病院"
"広島市医師会運営・安芸市民病院","","広島市安芸区畑賀二丁目１４番１号","082-827-0121","","","","","","","","","","","736-0088","","","","","","","","","","","","","","","","","","","","","","","","A047000063","","","132.552513999996","34.3927539999127","病院"
"医療法人社団慈恵会　いまだ病院","","広島市西区三篠町一丁目５番１号","082-238-6111","","","","","","","","","","","733-0003","","","","","","","","","","","","","","","","","","","","","","","","A047000064","","","132.453041999935","34.4117529998962","病院"
"医療法人ワカサ会　ワカサ・リハビリ病院","","広島市東区東山町１５番１号","082-264-1001","","","","","","","","","","","732-0043","","","","","","","","","","","","","","","","","","","","","","","","A047000065","","","132.493092999897","34.3967049999295","病院"
"医療法人社団一陽会　原田病院","","広島市佐伯区海老山町７番１０号","082-923-5161","","","","","","","","","","","731-5134","","","","","","","","","","","","","","","","","","","","","","","","A047000066","","","132.364351000192","34.3640599997582","病院"
"医療法人社団公仁会　槇殿順記念病院","","広島市西区横川新町８－２１","082-296-0110","","","","","","","","","","","733-0013","","","","","","","","","","","","","","","","","","","","","","","","A047000067","","","132.447067999989","34.4082029997389","病院"
